timestamp,kp1_count,kp2_count,stereo_matches,triangulated_points,temporal_matches
1403636579763555584,1000,1000,525,359,0
1403636579813555456,1000,1000,521,353,267
1403636579863555584,1000,1000,554,385,267
1403636579913555456,1000,1000,564,414,297
1403636579963555584,1000,1000,532,351,306
1403636580013555456,1000,1000,504,376,255
1403636580063555584,1000,1000,488,336,298
1403636580113555456,1000,1000,457,303,254
1403636580163555584,1000,1000,452,301,228
1403636580213555456,1000,1000,442,318,237
1403636580263555584,1000,1000,391,249,223
1403636580313555456,1000,1000,369,261,196
1403636580363555584,1000,1000,328,219,191
1403636580413555456,1000,1000,249,165,151
1403636580463555584,1000,1000,140,97,100
1403636580513555456,1000,1000,105,56,49
1403636580563555584,1000,1000,91,49,34
1403636580613555456,1000,1000,119,75,35
1403636580663555584,1000,1000,179,100,53
1403636580713555456,1000,1000,237,139,72
1403636580763555584,1000,1000,282,172,80
1403636580813555456,1000,1000,358,226,113
1403636580863555584,1000,1000,439,312,147
1403636580913555456,1000,1000,495,345,217
1403636580963555584,1000,1000,546,345,257
1403636581013555456,1000,1000,540,347,234
1403636581063555584,1000,1000,556,391,257
1403636581113555456,1000,1000,546,375,297
1403636581163555584,1000,1000,589,389,287
1403636581213555456,1000,1000,597,415,302
1403636581263555584,1000,1000,610,416,278
1403636581313555456,1000,1000,654,462,309
1403636581363555584,1000,1000,638,438,338
1403636581413555456,1000,1000,586,398,263
1403636581463555584,1000,1000,602,406,300
1403636581513555456,1000,1000,602,411,279
1403636581563555584,1000,1000,582,425,311
1403636581613555456,1000,1000,564,392,300
1403636581663555584,1000,1000,528,358,271
1403636581713555456,1000,1000,586,412,212
1403636581763555584,1000,1000,592,417,317
1403636581813555456,1000,1000,588,402,318
1403636581863555584,1000,1000,558,417,315
1403636581913555456,1000,1000,545,392,317
1403636581963555584,1000,1000,481,322,279
1403636582013555456,1000,1000,430,280,223
1403636582063555584,1000,1000,385,260,211
1403636582113555456,1000,1000,298,196,170
1403636582163555584,1000,1000,215,131,112
1403636582213555456,1000,1000,168,100,82
1403636582263555584,1000,1000,138,77,64
1403636582313555456,1000,1000,185,116,59
1403636582363555584,1000,1000,245,159,83
1403636582413555456,1000,1000,307,192,107
1403636582463555584,1000,1000,403,256,134
1403636582513555456,1000,1000,430,280,180
1403636582563555584,1000,1000,498,339,212
1403636582613555456,1000,1000,515,332,240
1403636582663555584,1000,1000,518,400,244
1403636582713555456,1000,1000,547,385,298
1403636582763555584,1000,1000,543,366,286
1403636582813555456,1000,1000,545,404,273
1403636582863555584,1000,1000,579,396,293
1403636582913555456,1000,1000,602,433,312
1403636582963555584,1000,1000,611,444,330
1403636583013555456,1000,1000,613,459,342
1403636583063555584,1000,1000,612,421,311
1403636583113555456,1000,1000,592,460,326
1403636583163555584,1000,1000,594,429,356
1403636583213555456,1000,1000,554,371,297
1403636583263555584,1000,1000,578,399,272
1403636583313555456,1000,1000,545,339,285
1403636583363555584,1000,1000,611,414,211
1403636583413555456,1000,1000,586,416,311
1403636583463555584,1000,1000,596,426,313
1403636583513555456,1000,1000,556,407,315
1403636583563555584,1000,1000,552,375,294
1403636583613555456,1000,1000,548,361,262
1403636583663555584,1000,1000,539,378,258
1403636583713555456,1000,1000,467,287,249
1403636583763555584,1000,1000,424,288,229
1403636583813555456,1000,1000,364,252,202
1403636583863555584,1000,1000,294,187,149
1403636583913555456,1000,1000,248,151,120
1403636583963555584,1000,1000,197,119,93
1403636584013555456,1000,1000,149,90,76
1403636584063555584,1000,1000,148,87,61
1403636584113555456,1000,1000,151,84,66
1403636584163555584,1000,1000,161,104,63
1403636584213555456,1000,1000,210,115,59
1403636584263555584,1000,1000,236,144,81
1403636584313555456,1000,1000,301,201,92
1403636584363555584,1000,1000,304,194,144
1403636584413555456,1000,1000,358,247,129
1403636584463555584,1000,1000,386,268,176
1403636584513555456,1000,1000,484,335,180
1403636584563555584,1000,1000,494,374,236
1403636584613555456,1000,1000,501,333,259
1403636584663555584,1000,1000,568,376,251
1403636584713555456,1000,1000,592,416,277
1403636584763555584,1000,1000,619,471,322
1403636584813555456,1000,1000,638,429,344
1403636584863555584,1000,1000,609,432,283
1403636584913555456,1000,1000,613,399,310
1403636584963555584,1000,1000,611,425,292
1403636585013555456,1000,1000,565,412,284
1403636585063555584,1000,1000,552,351,284
1403636585113555456,1000,1000,568,351,255
1403636585163555584,1000,1000,529,344,243
1403636585213555456,1000,1000,498,332,224
1403636585263555584,1000,1000,487,320,231
1403636585313555456,1000,1000,540,353,181
1403636585363555584,1000,1000,519,347,254
1403636585413555456,1000,1000,483,309,247
1403636585463555584,1000,1000,529,357,215
1403636585513555456,1000,1000,503,359,261
1403636585563555584,1000,1000,509,337,277
1403636585613555456,1000,1000,502,332,240
1403636585663555584,1000,1000,487,353,250
1403636585713555456,1000,1000,435,304,247
1403636585763555584,1000,1000,408,275,223
1403636585813555456,1000,1000,365,236,187
1403636585863555584,1000,1000,286,186,165
1403636585913555456,1000,1000,258,166,119
1403636585963555584,1000,1000,234,135,114
1403636586013555456,1000,1000,208,140,87
1403636586063555584,1000,1000,199,118,91
1403636586113555456,1000,1000,187,114,80
1403636586163555584,1000,1000,173,99,72
1403636586213555456,1000,1000,195,120,75
1403636586263555584,1000,1000,173,102,71
1403636586313555456,1000,1000,183,101,61
1403636586363555584,1000,1000,170,98,60
1403636586413555456,1000,1000,193,111,59
1403636586463555584,1000,1000,163,88,72
1403636586513555456,1000,1000,155,91,56
1403636586563555584,1000,1000,156,91,56
1403636586613555456,1000,1000,143,76,61
1403636586663555584,1000,1000,143,81,48
1403636586713555456,1000,1000,162,85,54
1403636586763555584,1000,1000,153,82,51
1403636586813555456,1000,1000,170,93,55
1403636586863555584,1000,1000,161,95,56
1403636586913555456,1000,1000,158,96,56
1403636586963555584,1000,1000,164,95,56
1403636587013555456,1000,1000,156,87,53
1403636587063555584,1000,1000,183,96,49
1403636587113555456,1000,1000,170,100,68
1403636587163555584,1000,1000,177,106,67
1403636587213555456,1000,1000,167,88,68
1403636587263555584,1000,1000,179,102,48
1403636587313555456,1000,1000,192,99,62
1403636587363555584,1000,1000,191,100,58
1403636587413555456,1000,1000,172,112,58
1403636587463555584,1000,1000,184,121,76
1403636587513555456,1000,1000,207,110,75
1403636587563555584,1000,1000,202,129,77
1403636587613555456,1000,1000,210,128,87
1403636587663555584,1000,1000,196,114,88
1403636587713555456,1000,1000,203,103,70
1403636587763555584,1000,1000,239,143,82
1403636587813555456,1000,1000,217,125,98
1403636587863555584,1000,1000,210,115,88
1403636587913555456,1000,1000,203,128,64
1403636587963555584,1000,1000,196,112,91
1403636588013555456,1000,1000,210,130,74
1403636588063555584,1000,1000,207,135,91
1403636588113555456,1000,1000,212,133,81
1403636588163555584,1000,1000,210,127,79
1403636588213555456,1000,1000,219,130,88
1403636588263555584,1000,1000,216,128,90
1403636588313555456,1000,1000,232,136,93
1403636588363555584,1000,1000,219,138,103
1403636588413555456,1000,1000,213,143,93
1403636588463555584,1000,1000,229,134,101
1403636588513555456,1000,1000,221,133,94
1403636588563555584,1000,1000,208,124,92
1403636588613555456,1000,1000,202,118,80
1403636588663555584,1000,1000,202,128,80
1403636588713555456,1000,1000,197,125,84
1403636588763555584,1000,1000,201,117,86
1403636588813555456,1000,1000,197,109,77
1403636588863555584,1000,1000,201,125,76
1403636588913555456,1000,1000,181,104,68
1403636588963555584,1000,1000,215,126,73
1403636589013555456,1000,1000,208,140,91
1403636589063555584,1000,1000,202,115,100
1403636589113555456,1000,1000,219,142,67
1403636589163555584,1000,1000,241,141,100
1403636589213555456,1000,1000,236,135,94
1403636589263555584,1000,1000,221,138,87
1403636589313555456,1000,1000,222,133,92
1403636589363555584,1000,1000,223,123,100
1403636589413555456,1000,1000,212,154,89
1403636589463555584,1000,1000,202,104,88
1403636589513555456,1000,1000,199,133,75
1403636589563555584,1000,1000,188,120,92
1403636589613555456,1000,1000,192,123,78
1403636589663555584,1000,1000,200,127,88
1403636589713555456,1000,1000,189,120,84
1403636589763555584,1000,1000,175,98,71
1403636589813555456,1000,1000,188,108,61
1403636589863555584,1000,1000,177,104,72
1403636589913555456,1000,1000,162,99,63
1403636589963555584,1000,1000,168,104,66
1403636590013555456,1000,1000,177,107,56
1403636590063555584,1000,1000,168,109,68
1403636590113555456,1000,1000,153,87,58
1403636590163555584,1000,1000,136,77,51
1403636590213555456,1000,1000,159,96,41
1403636590263555584,1000,1000,150,78,54
1403636590313555456,1000,1000,138,75,44
1403636590363555584,1000,1000,148,78,44
1403636590413555456,1000,1000,159,104,49
1403636590463555584,1000,1000,170,112,62
1403636590513555456,1000,1000,172,106,63
1403636590563555584,1000,1000,162,92,63
1403636590613555456,1000,1000,183,110,53
1403636590663555584,1000,1000,163,97,68
1403636590713555456,1000,1000,202,118,56
1403636590763555584,1000,1000,196,120,76
1403636590813555456,1000,1000,196,132,75
1403636590863555584,1000,1000,174,104,74
1403636590913555456,1000,1000,169,105,69
1403636590963555584,1000,1000,190,98,77
1403636591013555456,1000,1000,188,106,67
1403636591063555584,1000,1000,186,102,69
1403636591113555456,1000,1000,188,106,65
1403636591163555584,1000,1000,212,133,72
1403636591213555456,1000,1000,216,125,86
1403636591263555584,1000,1000,179,104,87
1403636591313555456,1000,1000,179,104,60
1403636591363555584,1000,1000,192,113,71
1403636591413555456,1000,1000,186,119,84
1403636591463555584,1000,1000,208,128,89
1403636591513555456,1000,1000,188,131,101
1403636591563555584,1000,1000,201,105,94
1403636591613555456,1000,1000,203,126,72
1403636591663555584,1000,1000,212,114,86
1403636591713555456,1000,1000,205,100,75
1403636591763555584,1000,1000,198,101,68
1403636591813555456,1000,1000,203,111,64
