timestamp,kp1_count,kp2_count,stereo_matches,triangulated_points,temporal_matches
1403636579763555584,1001,1000,441,387,0
1403636579813555456,1000,1000,473,383,276
1403636579863555584,1000,1000,501,445,273
1403636579913555456,1000,1000,530,445,312
1403636579963555584,1000,1000,467,385,295
1403636580013555456,1000,1001,475,419,280
1403636580063555584,1001,1000,443,363,287
1403636580113555456,1000,1000,398,345,267
1403636580163555584,1000,1000,405,347,250
1403636580213555456,1000,1000,407,363,256
1403636580263555584,1000,1000,372,303,244
1403636580313555456,1000,1000,368,288,202
1403636580363555584,1000,1000,339,264,190
1403636580413555456,1000,1000,292,219,167
1403636580463555584,1000,1000,281,240,159
1403636580513555456,1000,1000,189,157,146
1403636580563555584,1000,1000,154,124,83
1403636580613555456,1001,1000,185,133,71
1403636580663555584,1000,1000,275,212,99
1403636580713555456,1000,1000,327,268,153
1403636580763555584,1000,1000,376,300,182
1403636580813555456,1000,1000,413,340,216
1403636580863555584,1000,1000,413,342,230
1403636580913555456,1000,1000,463,372,236
1403636580963555584,1001,1000,488,402,274
1403636581013555456,1001,1000,518,431,289
1403636581063555584,1000,1000,535,481,310
1403636581113555456,1000,1000,547,481,324
1403636581163555584,1000,1000,577,483,344
1403636581213555456,1001,1000,573,448,333
1403636581263555584,1000,1000,591,491,333
1403636581313555456,1000,1001,572,493,366
1403636581363555584,1001,1000,543,455,317
1403636581413555456,1000,1000,547,405,290
1403636581463555584,1000,1000,582,485,308
1403636581513555456,1000,1000,595,485,348
1403636581563555584,1000,1000,566,513,348
1403636581613555456,1000,1000,565,493,392
1403636581663555584,1001,1000,554,454,342
1403636581713555456,1000,1001,536,450,278
1403636581763555584,1000,1000,531,443,336
1403636581813555456,1000,1002,501,437,312
1403636581863555584,1000,1000,528,452,300
1403636581913555456,1000,1000,473,376,304
1403636581963555584,1000,1000,450,331,255
1403636582013555456,1000,1000,422,351,242
1403636582063555584,1000,1001,403,331,250
1403636582113555456,1000,1000,339,271,213
1403636582163555584,1000,1000,305,249,167
1403636582213555456,1000,1001,243,195,149
1403636582263555584,1001,1000,235,202,147
1403636582313555456,1002,1000,295,214,135
1403636582363555584,1000,1000,321,223,139
1403636582413555456,1000,1000,336,262,151
1403636582463555584,1000,1000,402,306,195
1403636582513555456,1000,1001,425,333,214
1403636582563555584,1000,1000,443,365,238
1403636582613555456,1000,1000,483,407,265
1403636582663555584,1000,1000,521,426,297
1403636582713555456,1000,1000,518,452,312
1403636582763555584,1000,1000,541,444,319
1403636582813555456,1000,1001,562,468,306
1403636582863555584,1000,1000,562,465,324
1403636582913555456,1000,1000,587,468,352
1403636582963555584,1000,1001,586,504,357
1403636583013555456,1000,1001,579,485,346
1403636583063555584,1000,1000,587,493,342
1403636583113555456,1000,1000,576,506,376
1403636583163555584,1000,1000,575,514,399
1403636583213555456,1001,1000,568,459,364
1403636583263555584,1000,1000,562,478,353
1403636583313555456,1000,1000,549,409,290
1403636583363555584,1000,1002,559,463,267
1403636583413555456,1001,1001,568,479,320
1403636583463555584,1000,1001,544,466,367
1403636583513555456,1001,1000,549,461,308
1403636583563555584,1000,1000,533,413,319
1403636583613555456,1000,1001,523,437,280
1403636583663555584,1000,1000,479,409,279
1403636583713555456,1000,1000,455,370,283
1403636583763555584,1000,1000,414,340,249
1403636583813555456,1000,1000,377,317,224
1403636583863555584,1000,1001,366,313,210
1403636583913555456,1000,1001,344,277,214
1403636583963555584,1000,1000,300,245,188
1403636584013555456,1000,1000,255,203,152
1403636584063555584,1000,1000,235,177,140
1403636584113555456,1000,1000,232,176,130
1403636584163555584,1000,1000,263,186,131
1403636584213555456,1000,1000,287,231,134
1403636584263555584,1000,1001,333,274,173
1403636584313555456,1000,1000,384,310,196
1403636584363555584,1000,1000,367,315,209
1403636584413555456,1000,1000,411,324,223
1403636584463555584,1000,1000,449,325,227
