timestamp,kp1_count,kp2_count,stereo_matches,triangulated_points,temporal_matches
1403636579763555584,785,785,785,482,0
1403636579813555456,777,777,777,548,376
1403636579863555584,767,767,767,631,443
1403636579913555456,752,752,752,521,395
1403636579963555584,742,742,742,624,364
1403636580013555456,726,726,726,432,323
1403636580063555584,703,703,703,447,272
1403636580113555456,715,715,715,575,357
1403636580163555584,681,681,681,432,356
1403636580213555456,697,697,697,446,294
1403636580263555584,688,688,688,410,289
1403636580313555456,659,659,659,378,251
1403636580363555584,598,598,598,346,217
1403636580413555456,543,543,543,312,200
1403636580463555584,501,501,501,280,166
1403636580513555456,499,499,499,285,169
1403636580563555584,543,543,543,289,172
1403636580613555456,499,499,499,285,193
1403636580663555584,519,519,519,281,200
1403636580713555456,542,542,542,311,183
1403636580763555584,613,613,613,382,213
1403636580813555456,680,680,680,377,227
1403636580863555584,699,699,699,401,233
1403636580913555456,717,717,717,440,244
1403636580963555584,746,746,746,484,267
1403636581013555456,766,766,766,506,307
1403636581063555584,772,772,772,482,304
1403636581113555456,766,766,766,620,346
1403636581163555584,793,793,793,559,375
1403636581213555456,813,813,813,521,323
1403636581263555584,806,806,806,562,324
1403636581313555456,807,807,807,546,360
1403636581363555584,810,810,810,680,436
1403636581413555456,810,810,810,559,482
1403636581463555584,808,808,808,518,402
1403636581513555456,811,811,811,587,390
1403636581563555584,791,791,791,526,377
1403636581613555456,792,792,792,496,327
1403636581663555584,770,770,770,568,361
1403636581713555456,802,802,802,578,404
1403636581763555584,783,783,783,544,408
1403636581813555456,782,782,782,647,440
1403636581863555584,750,750,750,468,400
1403636581913555456,706,706,706,445,281
1403636581963555584,716,716,716,422,265
1403636582013555456,696,696,696,397,246
1403636582063555584,686,686,686,400,244
1403636582113555456,639,639,639,363,219
1403636582163555584,612,612,612,346,214
1403636582213555456,631,631,631,371,217
1403636582263555584,631,631,631,400,273
1403636582313555456,620,620,620,329,252
1403636582363555584,630,630,630,371,246
1403636582413555456,619,619,619,341,216
1403636582463555584,696,696,696,434,219
1403636582513555456,715,715,715,427,255
1403636582563555584,737,737,737,481,276
1403636582613555456,733,733,733,502,324
1403636582663555584,760,760,760,524,354
1403636582713555456,767,767,767,470,348
1403636582763555584,757,757,757,508,324
1403636582813555456,783,783,783,562,317
